BOMCode,MachineModel,Version,ItemCode,ItemName,SubAssemblyTag,QtyPerMachine,Unit,ScrapPercent,EstHoursPerUnit
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6160100300,DSG-03-3C2-D24 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6160100400,DSG-03-3C12-D24 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6160100500,DSG-01-2B2B-D24 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6170100100,PRESSURE RELIEF VALVE - BG-03-HP32 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6170100200,PRESSURE RELIEF VALVE - BG-06-P32 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6180100100,PILOT OPERATED CHECK VALVE - MPA-01-4-40H01 (YUKEN),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6180200100,PILOT OPERATED CHECK VALVE - MCIV-06-01 (PRISM HYD),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6190100200,LINE CHECK VALVE C10T1-03 (POLYHYDRON),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6190100100,LINE CHECK VALVE C20T1-03  (POLYHYDRON),110-420,1.0,NOS,0.0,0.5
110-420,(10001) NEO PRIME 110 - 420 TON [1000310400],1.0,6240100100,"PRESSURE GAUG 0-420 BAR BACK CONNECTION (2-1/2"")",110-420,2.0,NOS,0.0,0.5
